author,birth,death,gender
ARCHIBALD MACLEISH,1892,1982,Male
CARL SANDBURG,1878,1967,Male
CHRISTOPHER MARLOWE,1564,1593,Male
CONRAD AIKEN,1889,1973,Male
D. H. LAWRENCE,1885,1930,Male
DUCHESS OF NEWCASTLE MARGARET CAVENDISH,1623,1673,Female
E. E. CUMMINGS,1894,1962,Male
EDGAR LEE MASTERS,1868,1950,Male
EDITH SITWELL,1887,1964,Female
EDMUND SPENSER,1552 ,1599,Male
ELINOR WYLIE,1885,1928,Female
EN JONSON,1572,1637,Male
EZRA POUND,1885,1972,Male
FORD MADOX FORD,1873,1939,Male
GEORGE CHAPMAN,1865,1903,Male
GEORGE GASCOIGNE,1525,1577,Male
GEORGE SANTAYANA,1863,1952,Male
GERTRUDE STEIN,1874,1946,Female
GIOVANNI BATTISTA GUARINI,1538,1612,Male
GUILLAUME APOLLINAIRE,1880,1918,Male
HART CRANE,1899,1932,Male
"HENRY HOWARD, EARL OF SURREY",1517,1547,Male
"HENRY VIII, KING OF ENGLAND",1491,1547,Male
HUGH MACDIARMID,1892,1978,Male
ISABELLA WHITNEY,1566,1600,Female
IVOR GURNEY,1890,1937,Male
JAMES JOYCE,1882,1941,Male
JOHN DONNE,1572,1631,Male
JOHN FLETCHER,1579,1625,Male
JOHN SKELTON,1460,1529,Male
KATHERINE MANSFIELD,1888,1923,Female
KENNETH FEARING,1902,1961,Male
LADY MARY WROTH,1587,1652,Female
LOUIS UNTERMEYER,1885,1977,Male
LOUISE BOGAN,1897,1970,Female
MALCOLM COWLEY,1898,1989,Male
MARIANNE MOORE,1887,1972,Female
MARJORIE PICKTHALL,1883,1922,Female
MICHAEL ANANIA,1939 ,,Male
MINA LOY,1882,1966,Female
ORLANDO GIBBONS,1583,1625,Male
PAUL LAURENCE DUNBAR,1872,1906,Male
QUEEN ELIZABETH I,1533,1603,Female
RICHARD ALDINGTON,1892,1962,Male
RICHARD BARNFIELD,1574,1620,Male
"ROBERT SOUTHWELL, SJ",1561,1595,Male
SAMUEL DANIEL,1562,1619,Male
SAMUEL GREENBERG,1893,1917,Male
SARA TEASDALE,1884,1933,Female
"SECOND BARON VAUX OF HARROWDEN THOMAS, LORD VAUX",1509 ,1556,Male
SIR EDWARD DYER,1543,1607,Male
SIR PHILIP SIDNEY,1554,1586,Male
SIR THOMAS WYATT,1503,1542,Male
SIR WALTER RALEGH,1552,1618,Male
T. S. ELIOT,1888,1965,Male
THOMAS BASTARD,1566,1618,Male
THOMAS CAMPION,1567,1620,Male
THOMAS HEYWOOD,1574,1641,Male
THOMAS LODGE,1557,1625,Male
THOMAS NASHE,1567,1601,Male
WALLACE STEVENS,1879,1955,Male
WILLIAM BUTLER YEATS,1865,1939,Male
WILLIAM BYRD,1543,1623,Male
WILLIAM SHAKESPEARE,1564,1616,Male
MARK ABLEY,1955,,Male
RUPI KAUR,1992 ,,Female
GREGORY PARDLO,1968 ,,Male
AMBER TAMBLYN,1983,,Female
SULI BREAKS,1988 ,,Male
BRIAN TURNER,1967,,Male